00:00:41.498 INFO  Minecraft: [1⋆] TheBear37: lol 
00:00:42.476 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: im telling you 
00:00:56.975 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: the lifesteal and syphon nerf wasnt needed and made beserker the worst class 
00:01:01.031 INFO  Minecraft: [MVP+] 08m_ joined the lobby! 
00:01:01.033 INFO  Sending to skyblock. 
00:01:01.272 INFO  Minecraft: SkyBlock is currently full and only available to VIP and above! You can access the store at https://store.hypixel.net 
00:01:02.519 INFO  Minecraft: Guild > [VIP] 3ctooo [M]: eh 
00:01:03.269 INFO  Minecraft: Unknown command. Type "help" for help. 
00:01:03.357 INFO  Minecraft:  
00:01:03.359 INFO  Minecraft: ➤ A Mega Doubles SkyWars game is available to join! CLICK HERE to join! 
00:01:03.361 INFO  Minecraft:  
00:01:03.735 INFO  Minecraft: [MVP+] qkrwlgner joined the lobby! 
00:01:03.737 INFO  Sending to skyblock. 
00:01:03.970 INFO  Minecraft: Please don't spam the command! 
00:01:06.054 INFO  Minecraft: Unknown command. Type "help" for help. 
00:01:06.268 INFO  Minecraft: Guild > [VIP] 3ctooo [M]: it kind of was needed 
00:01:10.996 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: no 
00:01:13.846 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: no 
00:01:17.260 INFO  Minecraft: Guild > [VIP+] Danny_Bicko [M]: no 
00:01:20.558 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: bers doesnt need a nerf 
00:01:21.802 INFO  Minecraft: Guild > [VIP] 3ctooo [M]: it was needed for archer not bers 
00:01:22.886 INFO  Minecraft:  >>> [MVP++] mikei joined the lobby! <<< 
00:01:23.507 INFO  Minecraft: Friend > Stacker2s left. 
00:01:25.267 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: it was already bad enough 
00:01:25.584 INFO  Minecraft: Friend > Stacker2s joined. 
00:01:27.088 INFO  Minecraft: Guild > [MVP+] EgirlSealUwU [F]: is a perfect t12 dungeonized cp better than a necro cp? 
00:01:27.373 INFO  Minecraft: Guild > [VIP] 3ctooo [M]: it wasnt a bers nerf 
00:01:32.832 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: ye but they ****ed bers with that nerf 
00:01:35.717 INFO  Minecraft: Guild > [VIP] 3ctooo [M]: yeah 
00:01:35.941 INFO  Minecraft:  >>> [MVP++] ohKroo joined the lobby! <<< 
00:01:38.326 INFO  Minecraft: You already tipped everyone that has boosters active, so there isn't anybody to be tipped right now! 
00:01:40.535 INFO  Minecraft:  >>> [MVP++] embyro joined the lobby! <<< 
00:01:42.137 INFO  Minecraft: [MVP+] oBeanz joined the lobby! 
