07:26:04.987 INFO  Logging in. 
07:26:06.533 INFO  Discord: Logged in. 
07:26:07.350 INFO  Logged in. 
07:26:07.566 INFO  Minecraft:                                       
07:26:07.579 INFO  Minecraft:                           
07:26:09.358 INFO  Sending to skyblock. 
07:26:09.611 INFO  Minecraft: ----------------------------------------------------- 
07:26:09.613 INFO  Minecraft: Requirements are Skill Avg 20, Cata 20, and 100m net, along with 85k gexp a week! Make sure to have fun and contact OwOseal or a staff member if you have something to report, or something else to say! 
07:26:09.613 INFO  Minecraft: ----------------------------------------------------- 
07:26:10.264 INFO  Minecraft: Sending to server mini702P... 
07:26:10.269 INFO  Logged in. 
07:26:12.273 INFO  Sending to skyblock. 
07:26:12.507 INFO  Minecraft: Please don't spam the command! 
07:26:12.562 INFO  Minecraft:         
07:26:12.893 INFO  Minecraft: You're already sitting on this island! 
07:26:14.155 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: kill them 
07:26:14.596 INFO  Minecraft: You're already sitting on this island! 
07:26:15.545 INFO  Minecraft:  
07:26:15.546 INFO  Minecraft: Welcome to Hypixel SkyBlock! 
07:26:15.548 INFO  Minecraft: Backpacks are currently disabled! Read more at https://hypixel.net/threads/4085288/ 
07:26:17.014 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: sealbot v2??? : D 
07:26:17.284 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» sealbot v2??? : D 
07:26:24.696 INFO  Minecraft: Guild > [MVP++] Aesphea [M]: they won't move 
07:26:26.699 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: POG 
07:26:27.220 INFO  Minecraft: Guild > [VIP+] OwOPingu [F]: :D 
07:26:34.853 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [M]: I am a rat 
07:26:40.345 INFO  Minecraft: Guild > [MVP+] SmolSeal [CO]: rat grind is op 
07:26:41.470 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: make sure nobody can party it 
07:26:42.665 INFO  Minecraft: Guild > [VIP+] karkid [M]: someone should guild invite to like a 1 player lobby and everyone morphs into a rat 
07:26:45.153 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: bam 
07:26:47.414 INFO  Minecraft: Guild > [VIP] oworeaper [M]: that was 30 
07:26:49.203 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: yes 
07:26:50.773 INFO  Minecraft: Guild > [VIP] oworeaper [M]: maybe people buy 
07:26:53.368 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: wdym rat 
07:26:53.609 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» wdym rat 
07:27:06.774 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: the rat pet 
07:27:08.861 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [M]: new rat [et 
07:27:12.388 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: oh dam 
07:27:12.650 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» oh dam 
07:27:14.834 INFO  Minecraft: Guild > [VIP] VincentSenpai [M]: they farming rats 
07:27:18.787 INFO  Minecraft: Guild > [MVP++] Aesphea [M]: i found 3 rats on the floor and they won't move smh 
07:27:19.623 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: how do you vet it 
07:27:19.867 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» how do you vet it 
07:27:21.957 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: get it 
07:27:22.863 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» get it 
07:27:28.670 INFO  Minecraft: Guild > [MVP+] LionyLev [F]: they only move at night 
07:27:32.932 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: and whats iy 
07:27:33.220 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» and whats iy 
07:27:39.495 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: whats its perks 
07:27:39.742 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» whats its perks 
07:27:49.530 INFO  Minecraft: Guild > [MVP] The4p1 [M]: how do i go under community hub? 
07:27:56.054 INFO  Minecraft: Guild > Mouse_Throwdious joined. 
07:28:30.274 INFO  Minecraft: Guild > [MVP++] SeaDoggoOwO [LS]: how do u get rats 
07:28:30.644 INFO  Minecraft: Guild > [MVP] The4p1 [M]: center* 
07:28:30.678 INFO  Minecraft: Guild > [VIP] VincentSenpai [M]: alch exp 
07:28:32.029 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: ok 
07:28:32.852 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» ok 
07:28:43.517 INFO  Minecraft: Guild > [MVP] TimySeal [M]: seadoggo u in my lobby 
07:28:45.472 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: sealbot is back POG 
07:28:45.824 INFO  Minecraft: Guild > [MVP] TimySeal [M]: owo 
07:28:46.730 INFO  Minecraft: Guild > c_RaMMikKs__ left. 
07:28:46.746 INFO  Minecraft: Guild > c_RaMMikKs__ joined. 
07:28:47.707 INFO  Minecraft: Guild > c_RaMMikKs__ left. 
07:28:48.645 INFO  Minecraft: Guild > [MVP++] SeaDoggoOwO [LS]: owo 
07:28:50.888 INFO  Minecraft: Guild > c_RaMMikKs__ joined. 
07:28:51.751 INFO  Minecraft: Guild > [VIP] oworeaper [M]: whaaaat 
07:28:53.008 INFO  Minecraft: Guild > [VIP] xmassandy11 [M]: laggggggggggggg 
07:28:53.053 INFO  Minecraft: Guild > [MVP] The4p1 [M]: how do i go  under community senter? 
07:28:54.970 INFO  Minecraft: Guild > [VIP] oworeaper [M]: since when 
07:28:56.010 INFO  Minecraft: Guild > [MVP+] SmolSeal [CO]: POG 
07:28:56.878 INFO  Minecraft: Guild > [VIP] oworeaper [M]: u cant 
07:28:57.035 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: aoe 
07:28:58.546 INFO  Minecraft: Guild > karkid left. 
07:29:00.569 INFO  Minecraft: Guild > [VIP] Redbeam747 [M]: you aoe the rats 
07:29:02.076 INFO  Minecraft: Guild > [MVP] TimySeal [M]: !ping 
07:29:03.331 INFO  Minecraft: Guild > SealEaterV [M]: Am I lagging? because 236ms seems a bit much 
07:29:18.700 INFO  Minecraft: Guild > [MVP+] c_RaMMikKs__ [M]: !sea; 
07:29:21.334 INFO  Minecraft: Guild > [MVP+] c_RaMMikKs__ [M]: !seal 
